,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
300,286,299.5,376,572.5,403.5,329,229.5,388,241.5,233.5,286,371.5,138.5,313.5,-1623,92,246,234.5
301,366,419.5,421,509,450.5,335.5,307.5,416.5,308.5,321,366,357,337.5,439.5,-901,208,254,349.5
302,377.5,399.5,408.5,479.5,496.5,443.5,422.5,458.5,433,479.5,377.5,440.5,492,503,-252.5,394.5,403.5,484
303,486,495.5,487.5,547.5,485,525.5,557.5,567,507.5,491.5,486,534.5,503.5,599.5,182,468.5,673,576
304,618.5,583,558.5,588,678,589.5,621,615.5,559.5,630,618.5,600,678,623.5,472,631.5,616.5,611
305,589.5,687,588.5,670.5,784,695,742.5,672,682.5,655.5,589.5,719.5,753,756.5,583,723.5,799.5,751.5
306,759.5,772,705,798.5,799.5,712,862.5,806.5,761.5,789,759.5,779.5,840,881,731,855,866,868.5
307,886,850,806,856,924,831.5,891.5,874,881.5,919.5,886,935,1010,1011,779,913.5,1010.5,973.5
308,954.5,999.5,984,943,1045.5,955,1027,968,989,1052.5,954.5,1059.5,1064,1147.5,981.5,1076,1159,1127.5
309,1062,1094,1061.5,1178.5,1195,1082,1149.5,1065.5,1078,1209,1062,1158.5,1210,1293,1120,1258.5,1301,1239
310,1150,1245.5,1210.5,1291.5,1371.5,1185,1300.5,1255,1200,1334.5,1150,1306,1386.5,1420,1204.5,1410,1427,1417.5
311,1402,1447.5,1253,1431,1519.5,1332,1550,1425.5,1370.5,1490,1402,1527.5,1641,1625.5,1366,1601,1636,1643
312,1439,1477,1477,1616.5,1699,1498.5,1654.5,1539,1469.5,1657,1439,1653.5,1748.5,1783.5,1537.5,1694.5,1795,1734
313,1693.5,1725.5,1682,1775.5,1858,1670.5,1895.5,1724,1706,1849.5,1693.5,1838,1966.5,1871,1731.5,1873.5,2000,1926.5
314,1856,1852.5,1878.5,1991,1972,1877,2070.5,1864,1801.5,1980,1856,1970,2144,2162.5,1837.5,2085.5,2198.5,2139.5
315,2037,2015,1943,2155.5,2240.5,1984.5,2210,1990,1931,2181.5,2037,2259,2362,2402,2111.5,2347.5,2362.5,2344.5
316,2194.5,2226,2091.5,2281.5,2464.5,2179,2403.5,2251,2161.5,2439.5,2194.5,2503,2551.5,2575,2318.5,2640.5,2710.5,2660
317,2420.5,2488.5,2333,2495.5,2660,2322,2695,2468,2359,2668.5,2420.5,2756,2797,2834,2487,2798.5,2840.5,2869
318,2640,2697.5,2591,2698.5,2897,2658,2938,2638.5,2596,2874.5,2640,2873.5,3156.5,3052,2751.5,2991,3178,3093.5
319,2892.5,2845,2645.5,2974,3141.5,2905,2975,2843,2761.5,3110,2892.5,3063.5,3329.5,3284,3045,3190,3422.5,3333.5
320,3056,3072.5,2922,3226,3451,2942,3330.5,2987.5,2999.5,3334.5,3056,3282,3571.5,3621,3216,3507.5,3683,3518.5
321,3150.5,3308,3170,3357,3515,3173,3547,3260,3171,3536.5,3150.5,3566.5,3745.5,3857,3515.5,3747,3968.5,3770
322,3423,3432,3212,3622.5,3762,3388.5,3746,3589,3268,3652.5,3423,3779.5,3990,4059,3592.5,4050,4258.5,4036
323,3569.5,3838,3623.5,3968.5,4058,3683,4028,3748.5,3479.5,4046,3569.5,4082,4243.5,4394,3847.5,4276.5,4421,4283.5
324,3862.5,3969,3868,4207,4252,3858.5,4335,3995.5,3790.5,4363,3862.5,4320,4607,4780,4046.5,4584.5,4741.5,4662.5
325,4132,4183,4093.5,4329.5,4690,3990,4730,4116.5,4258,4362,4132,4493,4768,4812.5,4304.5,5078,5100.5,4967
326,4330,4536,4275.5,4599.5,4835.5,4226,4771,4454.5,4298.5,4787.5,4330,4835.5,5058,4952.5,4719.5,5235,5183,5076.5
327,4558,4711.5,4545.5,4829,5219.5,4473.5,5154,4647,4450.5,5056.5,4558,5050,5265.5,5418.5,4925,5576.5,5602,5469.5
328,4805.5,4864,4703,5046,5387,4868.5,5499,4968,4793.5,5369.5,4805.5,5309,5620,5629,5162.5,5981,5799.5,5870
329,5014,5187.5,4953.5,5341.5,5656.5,4999.5,5663.5,5238.5,5092,5796.5,5014,5563.5,5845.5,5909.5,5441.5,6212.5,6153,6099.5
330,5320.5,5395.5,5157,5702,5945.5,5158,5942,5432,5204.5,5939,5320.5,5891.5,6177,6375,5857,6458.5,6368.5,6354.5
331,5568,5701,5398.5,5853,5980.5,5456,6157,5698,5346,6257.5,5568,6160,6440.5,6609,5957.5,6820.5,6760,6663
332,5795,5816.5,5593.5,6080.5,6272,5624.5,6524,5967,5679.5,6492.5,5795,6528.5,6556.5,6896.5,6262.5,7111,7018.5,6759.5
333,6118,6164.5,6049,6303.5,6735.5,5915,6775.5,6141,5810,6716,6118,6672.5,6896,7164,6601.5,7577.5,7338,7112
334,6317.5,6251,6176,6578.5,6979,6250,7001,6465.5,6195.5,7028.5,6317.5,6915.5,7175.5,7473.5,6959.5,7790.5,7666.5,7574.5
335,6629.5,6582.5,6408.5,6692.5,7187.5,6466,7217.5,6629.5,6363,7204.5,6629.5,7154.5,7654,7707.5,7035,8174,7667,7642
336,6768.5,6767.5,6550,7100.5,7491.5,6600.5,7560,6925.5,6530,7652.5,6768.5,7530,7708.5,7967,7391,8302,8190,7991.5
337,6927,7097,6902,7204.5,7739,6880.5,7789.5,7230,6835,7796,6927,7596,8050.5,8183,7536,8558,8351.5,8366.5
338,7121.5,7307.5,7016.5,7626,7830,7013.5,7980.5,7237.5,6888.5,8035,7121.5,7841,8369,8472,7922,8893,8678,8476
339,7336.5,7481,7235.5,7757,8284,7273.5,8275,7615,7167,8331.5,7336.5,8195.5,8485,8805,8398.5,9422.5,8923,8812
340,7543,7667,7323.5,7934.5,8229,7655.5,8421,7751,7265,8527,7543,8306,8693.5,9011,8389.5,9581.5,9164,8977
341,7688.5,7983.5,7538.5,8237,8444.5,7807.5,8818.5,7911.5,7675,8600,7688.5,8610,9024,9247.5,8465,9756,9331.5,9132
342,7962.5,8038,7827,8494.5,8854.5,7820,9037,8187,7662,8781.5,7962.5,9002.5,9073,9417.5,8910.5,9900,9454.5,9447
343,8185.5,8287,7933,8733,8970,8015,9238.5,8283.5,7947,9140.5,8185.5,9136.5,9394,9621.5,9181,10297,9915.5,9646
344,8578,8458,8149.5,8944.5,9180.5,8301,9304.5,8548,8151,9430,8578,9335,9654,10018.5,9249,10531.5,9964.5,9958
345,8717.5,8657,8412,8962.5,9496.5,8425,9567.5,8737.5,8307.5,9537,8717.5,9532,9622,10092.5,9413.5,10641.5,10235.5,10105
346,8787.5,8945.5,8510,9353.5,9739.5,8542,9810,8947,8495.5,9783.5,8787.5,9470,9971,10489.5,9734,11016.5,10479.5,10334
347,8994.5,8945.5,8805,9492,9788,8895,9808.5,8919.5,8921,9912.5,8994.5,9971.5,10290.5,10652.5,9893.5,11144,10643,10678
348,9140,9226,8852.5,9575.5,10071.5,8944.5,10060.5,9362.5,8824,10259.5,9140,9957.5,10442,10808,10208.5,11247.5,10862,10752.5
349,9326.5,9369,9189.5,9829,10109.5,9060,10365.5,9510.5,8944.5,10501.5,9326.5,10423.5,10804.5,10941,10307.5,11690,11061,10952
350,9423.5,9518.5,9194.5,9821.5,10317,9252.5,10524,9598,9179.5,10431,9423.5,10376,10945,11108.5,10572,11678.5,11224.5,11244.5
351,9646.5,9633.5,9336.5,10075.5,10475,9379.5,10527,9704,9172,10712,9646.5,10646.5,11132.5,11393.5,10817,12059.5,11485,11345.5
352,9782,9787,9536,10202,10626.5,9621.5,10624,9868.5,9352.5,10937,9782,10899,11031,11642.5,10962,12064,11502.5,11416
353,9777.5,9997,9536,10346,10809.5,9656,10875.5,9838,9344,11011.5,9777.5,10830,11313.5,11568,11028,12165.5,11815.5,11835.5
354,10007.5,10226.5,9560,10423,10866.5,9679.5,11063.5,9994,9406,11095,10007.5,10815,11369,11764.5,11178.5,12534,11991,11813
355,10134.5,10086.5,9740,10583,11063.5,9884,11183.5,10099,9633.5,11127,10134.5,11041.5,11557,12022.5,11281.5,12484.5,11896,11880
356,10179,10074.5,9806,10873.5,10992,9943,11237,10211,9580,11324.5,10179,11192.5,11574.5,12007,11346,12694,12230.5,11951.5
357,10199.5,10231,9905,10749.5,11071.5,9944,11285,10148.5,9748,11272,10199.5,11105.5,11622,12046.5,11412.5,12664.5,12006.5,12172
358,10219.5,10297,10186,10700,11138.5,10054.5,11346.5,10219.5,9924.5,11558,10219.5,11293.5,11752.5,12180.5,11545.5,12759.5,12227,12028.5
359,10333,10444.5,9927,10938.5,11223,10045.5,11403.5,10397,9902.5,11515.5,10333,11334.5,11966,12021,11709,13054.5,12122,11991.5
360,10276.5,10272,10042.5,10940,11158.5,10313,11275.5,10304,10937,11709,10276.5,11384.5,11906,12088,11712.5,12967.5,12409,12154
361,10451,10326.5,9745,11121,11050,10179.5,11469.5,10375.5,9744,11372,10451,11357,12075,12014,11750.5,13001,12080.5,12360.5
362,10369,10329.5,10053.5,11052,11063.5,10163.5,11512,10311,9963,11603,10369,11322,11864,12263.5,11934,13037.5,12259,12100
363,10441.5,10441.5,9968.5,11071.5,11243,10225,11555,10388,9872.5,11475,10441.5,11455.5,11802,12074,11827,13021,12132.5,12238.5
364,10432,10364,9933.5,10757.5,11196.5,10071,11448.5,10302.5,9911.5,11489,10432,11430.5,11731,12207,11829.5,12791,12280.5,11974.5
365,10394.5,10417,9964.5,11029,11047.5,10125.5,11328,10392,9821.5,11435,10394.5,11469,11872,12136.5,11749.5,12887,12377,12212
366,10352,10226,9942.5,10985,11191.5,10047.5,11241,10259,9943,11475,10352,11344.5,11923.5,12209,11643.5,12880,12004.5,12013
367,10253.5,10445,9978.5,10945.5,11097,10012.5,11238.5,10175,9822.5,11309,10253.5,11414,11620,12009,11707.5,12666.5,12175,12123.5
368,10267.5,10372,9795.5,10768,10993,10121.5,11188.5,10162,9695,11259.5,10267.5,11269,11759,12014,11683.5,12651.5,12069,11998
369,10153,10173.5,9858,10843,10887,9998,11077,10057,9711.5,11355,10153,11116,11639.5,12015.5,11567,12633.5,12072,11862.5
370,10083,10119.5,9642,10749,11103,9918.5,10940,9863.5,9708,11117,10083,11060.5,11551,11864.5,11749.5,12467,11926.5,11925
371,9986.5,10035.5,9775.5,10554.5,10612,9935.5,10862,9981,9557.5,11010,9986.5,11043,11560,11724.5,11373.5,12301,11699.5,11750.5
372,10050.5,9769,9641,10657,10611.5,9954.5,10892.5,9872.5,9493,10927.5,10050.5,10704.5,11398,11652.5,11423.5,12274.5,11685.5,11523
373,9933.5,9956.5,9581.5,10383,10450,9795,10606,9706,9303,10758,9933.5,10783,11333,11623,11207.5,12317.5,11538.5,11493.5
374,9658,9756,9456.5,10199,10354,9772,10745.5,9873.5,9312,10811.5,9658,10727.5,11080.5,11379,11242.5,12030.5,11621,11390.5
375,9786.5,9778,9508.5,10068.5,10210,9561,10648,9550,9182,10497.5,9786.5,10740,10958.5,11388,11116.5,11890.5,11452.5,11395
376,9502.5,9573,9063,10085.5,10235.5,9472,10401,9434,8879.5,10356,9502.5,10377.5,10841.5,11162,10948.5,11899.5,11343.5,11100
377,9473.5,9515.5,9105,9809.5,10020.5,9315.5,10386.5,9211,9041.5,10545,9473.5,10233.5,10701,10953,10838,11669,11144.5,11078.5
378,9331.5,9399,8896,9794,10011,9210,10225,9321,8880.5,10166.5,9331.5,10182,10411,10863.5,10614,11523.5,11079.5,11113.5
379,9230.5,9120,8829,9671.5,9776.5,8962.5,10014.5,9004,8894,10153.5,9230.5,10022,10329.5,10554,10500.5,11282,10796,10632
380,8933.5,9057,8568,9534.5,9736.5,9022.5,9750,8741.5,8607,9878,8933.5,9900,10366.5,10431,10459.5,11116,10631,10480
381,8942,8962,8623,9271.5,9377,8819,9728.5,8804.5,8352.5,9906.5,8942,9596.5,10241.5,10502,10179,10896.5,10563,10313.5
382,8750,8949.5,8522,8977,9454.5,8471.5,9549,8634,8450,9620.5,8750,9571.5,9923.5,10138.5,9948.5,10712,10395,10339
383,8657.5,8677.5,8411.5,9071.5,9183.5,8700,9395,8444,8171,9312,8657.5,9397.5,9896,9979.5,10145.5,10594,10020.5,10017.5
384,8578,8500,8133,8817.5,8992,8280.5,9241,8375,8186,9436.5,8578,9222.5,9617.5,10015,9862.5,10361.5,9967,9842.5
385,8452,8385,7994,8678.5,8914,8163,9080,8282.5,7957,9120,8452,9056.5,9339.5,9550.5,9705,10279.5,9817.5,9686
386,8231,8283.5,7964,8428,8755.5,8059.5,8877.5,8111,7916.5,8963,8231,9056.5,9334.5,9630,9446,10106.5,9680.5,9547
387,8075,8109.5,7788.5,8579.5,8818.5,8064.5,8644,8044,7656,8804,8075,8982,9291.5,9533.5,9473.5,9857.5,9598,9324
388,7953.5,8112,7638,8383.5,8550.5,7737.5,8661,8033,7512.5,8595.5,7953.5,8791,8979,9360.5,9198,9906.5,9396.5,9166
389,7919,8000,7477.5,8305.5,8420,7615,8503,7818,7430.5,8574.5,7919,8573.5,8789,9074,9060.5,9696,9324.5,9088
390,7461.5,7791.5,7438,7937.5,8326.5,7647.5,8372.5,7756,7501,8537.5,7461.5,8318.5,8719,9035.5,8729,9529.5,9121,8812.5
391,7541.5,7630.5,7205,7902,8039.5,7471.5,8270,7466,7218.5,8320.5,7541.5,8262,8369.5,8845,9001,9201,9044.5,8785
392,7398.5,7553.5,7121,7775,7840,7284.5,7978.5,7363.5,7097,8132,7398.5,8096.5,8420.5,8540,8479,9025,8802.5,8660.5
393,7342.5,7361,7125,7626.5,7755.5,7244.5,7844.5,7247,7079,8100.5,7342.5,7872,8186,8337,8272,8997.5,8670,8335.5
394,7087.5,7057.5,6874.5,7402,7557.5,7019.5,7749,6969.5,6776,7833,7087.5,7824.5,7991,8139.5,8163,8753,8456,8234
395,6931.5,7103,6740.5,7104.5,7473,6885,7402,6849,6647,7546,6931.5,7527.5,7723,7984.5,7939.5,8536.5,8377.5,8027.5
396,6679,6740,6416.5,6895,7251,6633.5,7234.5,6578,6396,7340.5,6679,7292.5,7537.5,7681.5,7785,8157,7915,7780.5
397,6555,6620.5,6188,6725,6998,6368.5,7019,6396.5,6213,6994,6555,7092.5,7248.5,7485,7433,7801,7729,7512
398,6424.5,6413.5,6089.5,6410,6595.5,6227.5,6902,6358.5,6147.5,6841,6424.5,6710.5,7070.5,7196.5,7178,7694.5,7686.5,7170
399,6114,6174,5782,6130.5,6526,6015,6620.5,6058,5967.5,6621,6114,6757.5,6842,7072,7018,7494.5,7440,7054.5
400,5812.5,6050.5,5755.5,5926,6329,5914.5,6492,5854,5666,6585,5812.5,6544.5,6478.5,6813,6760,7234,7200,6861.5
401,5590,5749.5,5525.5,5916.5,6128.5,5671.5,6269.5,5772,5597.5,6051,5590,6199,6503,6654.5,6613,6920,7095,6514
402,5563,5681,5373,5551,5994.5,5365,5891,5495,5296,6030.5,5563,6076.5,6099,6318.5,6223.5,6743,6924,6357.5
403,5268.5,5530,5236.5,5492,5781,5387,5840,5417,5177,5806.5,5268.5,5984.5,6057.5,6255,6197,6533.5,6714.5,6025
404,5186.5,5190.5,5068,5283,5567.5,5081,5477.5,5246.5,4975.5,5661.5,5186.5,5600.5,5711.5,5836.5,6025,6412.5,6647,5915.5
405,5046.5,5148.5,4854.5,5012,5230,4968,5315.5,5078,4885,5472.5,5046.5,5501.5,5592,5700.5,5777,6086,6496,5639.5
406,4928,4885,4665.5,4883,5115,4736.5,5317.5,4802.5,4682,5282.5,4928,5272,5488.5,5601.5,5621.5,5967.5,6389.5,5528.5
407,4536.5,4838,4417.5,4790.5,5066,4428.5,5048,4678,4547.5,5067.5,4536.5,5062,5203,5395.5,5357,5798,6275,5260.5
408,4439,4730,4425.5,4456,4826.5,4406.5,4872.5,4603.5,4291,4871.5,4439,4787.5,4974,5143.5,5271,5518,6317.5,5126
409,4432.5,4513,4172.5,4192,4802.5,4255.5,4600,4400,4094.5,4757.5,4432.5,4779.5,4846,5028.5,4957.5,5300.5,6136.5,4939
410,4118.5,4392,4009.5,4269,4453.5,4157,4519,4206,4122.5,4495.5,4118.5,4634,4692,4777,4891,5089,5987.5,4882
411,4010.5,4148.5,3902,4035.5,4373.5,4011,4404.5,4028.5,3979.5,4379,4010.5,4451.5,4403,4525.5,4745,4994.5,5368,4614
412,3875.5,3990,3699,3897.5,4116,3791,4284.5,3747.5,3840.5,4078,3875.5,4315.5,4336,4568,4501,4859.5,5168.5,4363
413,3714.5,3944.5,3630.5,3692.5,4088,3653,4224.5,3659,3568,4084.5,3714.5,4115,4169.5,4323.5,4354.5,4510,5006,4207.5
414,3589,3678,3546.5,3599,3881,3551.5,3880.5,3564,3594,3774,3589,3972,4071,4195.5,4185,4432,4817,4240.5
415,3395.5,3643,3398.5,3409,3747,3355.5,3778.5,3531,3316.5,3747,3395.5,3739,3910,4013.5,4105.5,4320,4562.5,4035
416,3359.5,3477,3263.5,3335,3613.5,3311.5,3571.5,3312.5,3272,3523.5,3359.5,3749.5,3720,3911.5,3828.5,4236,4402,3881
417,3287.5,3421,3240,3148,3591.5,3215,3517.5,3320,3117,3529,3287.5,3503.5,3621.5,3672.5,3739.5,3878,4331,3652
418,3154.5,3312,3055,3084.5,3508.5,3088,3453,3158.5,3028,3422.5,3154.5,3336,3636.5,3739,3557.5,3882,4168,3553
419,2969,3163,2870,3006.5,3248,2879,3289.5,3029,3064.5,3258.5,2969,3261.5,3328.5,3516.5,3516.5,3731,4109.5,3350
420,2903.5,3113.5,2845,2929.5,3160.5,2845,3256.5,2902,2871,3165.5,2903.5,3168.5,3282,3390.5,3383,3540.5,3898.5,3214.5
421,2781.5,2925.5,2692.5,2763,3011.5,2802,3047,2898.5,2701,2899.5,2781.5,3006,3201,3142,3219,3504.5,3699,3156.5
422,2546.5,2853,2574.5,2647,3003.5,2704,2979,2907.5,2631,2889,2546.5,3027,3070,3114.5,3142,3326.5,3703,2973.5
423,2599.5,2835,2666,2743.5,2918,2488,2896,2646.5,2557.5,2807,2599.5,2801,2932,3073,2991.5,3302.5,3572,2902
424,2522,2649,2469.5,2542.5,2755.5,2399.5,2800.5,2528,2457.5,2734,2522,2743.5,2852,2886.5,2895.5,3228,3416.5,2825.5
425,2374.5,2522.5,2430.5,2458.5,2650.5,2455,2749.5,2549,2289,2632,2374.5,2620.5,2806.5,2772.5,2859,3158,3424,2766.5
426,2254.5,2488,2289,2418.5,2437.5,2302.5,2666,2412.5,2292.5,2509.5,2254.5,2521.5,2608,2662,2639,2858,3193.5,2625
427,2350.5,2420.5,2216.5,2196.5,2488.5,2294,2501.5,2346.5,2244.5,2353,2350.5,2472.5,2458.5,2617,2614,2819,3028.5,2571
428,2260.5,2308,2174.5,2125.5,2454,2103.5,2425,2242,2116,2391.5,2260.5,2335.5,2539,2506.5,2519.5,2722.5,2982,2406.5
429,2138,2253.5,2038,2009.5,2329.5,1986.5,2420,2196,2102,2299,2138,2315,2343.5,2469.5,2353,2683.5,2879,2366.5
430,2103,2139.5,2060.5,1984,2367.5,1938.5,2194,2060,1950,2108,2103,2207.5,2348.5,2383.5,2351.5,2598,2743.5,2346.5
431,1960,2057.5,1847.5,1983.5,2158.5,1867.5,2211,2037.5,1864,2203,1960,2204.5,2142,2306.5,2302,2434,2733,2164.5
432,1865.5,1918.5,1983,1990.5,2139,1898.5,2091.5,1952,1790.5,2079,1865.5,2056,2126,2232.5,2247.5,2488.5,2666,2121.5
433,1724,1941.5,1774.5,1721,2060.5,1741,2136.5,1831.5,1847.5,2013.5,1724,1998.5,1975.5,2164,2090,2412,2655.5,2080
434,1738.5,1954.5,1680,1657.5,1950,1679,1938.5,1779,1682.5,1926,1738.5,1968,2063,2073.5,1941.5,2306,2463,1875
435,1629,1776,1744.5,1655.5,1956,1656.5,1919,1807.5,1668.5,1770.5,1629,1801.5,1960,2000,1968,2231,2641,1892
436,1606,1727,1624.5,1635,1942.5,1506,1850,1743,1612,1766.5,1606,1729,1862,1949.5,1921.5,2116.5,2384.5,1842
437,1583.5,1607.5,1575.5,1516.5,1719.5,1578,1813,1581.5,1528,1659,1583.5,1751.5,1761.5,1880,1848,1986,2409.5,1772.5
438,1548.5,1640.5,1570.5,1415.5,1763.5,1429,1808.5,1583,1433.5,1580,1548.5,1615.5,1673,1868,1745,1976.5,2316,1565
439,1580,1600,1508,1375.5,1695.5,1365,1704.5,1545.5,1402,1536.5,1580,1668.5,1658,1803.5,1658,1838.5,2257.5,1600
440,1445,1567.5,1476.5,1342.5,1616,1397,1615.5,1532.5,1382,1472.5,1445,1544,1574.5,1673,1663.5,1897.5,2179,1579
441,1350.5,1536.5,1413,1325.5,1607,1246.5,1580.5,1444,1296.5,1409.5,1350.5,1511,1600.5,1533.5,1525.5,1722.5,2132.5,1487.5
442,1284,1424.5,1328.5,1357.5,1563,1322,1510.5,1380,1269,1387.5,1284,1399.5,1487,1567,1634,1691,2028,1494.5
443,1252,1329,1288.5,1279.5,1437,1145,1471,1337,1247.5,1367,1252,1405.5,1469.5,1490,1480.5,1648,2073.5,1481
444,1259.5,1365.5,1232.5,1291.5,1383.5,1216,1451,1295.5,1219,1286.5,1259.5,1367,1505,1486.5,1393.5,1594.5,1946.5,1363
445,1162,1333.5,1248.5,1107,1365,1088.5,1474,1304.5,1141.5,1279,1162,1299.5,1376,1420.5,1338,1556,1902,1268
446,1106.5,1286,1186,1112,1302.5,1153.5,1344,1262,1174.5,1167.5,1106.5,1238.5,1332.5,1349,1309.5,1516.5,1900,1222.5
447,1099.5,1202.5,1148,1085.5,1274,1056.5,1321.5,1067.5,1009,1119.5,1099.5,1260.5,1312,1211.5,1266,1514.5,1857,1175.5
448,1029.5,1157.5,1101,1002,1289,963,1246.5,1083,1009,1126.5,1029.5,1140.5,1199,1256,1206,1423,1679.5,1152
449,1011,1170.5,1141.5,1100.5,1232,922.5,1235,1057,981,1095.5,1011,1212,1188,1216,1221,1336.5,1676.5,1133
450,1005.5,1089,1015.5,903.5,1078.5,906.5,1100.5,996.5,905.5,997,1005.5,1045,1210,1175.5,1097,1392,1577,1039
451,927,1071,1004,878,1113.5,863.5,1091.5,1013.5,922.5,952,927,1041,1100.5,1090,1077.5,1265,1589,1019
452,871.5,1019,945,865.5,1101.5,809,1082.5,1015,883.5,967,871.5,1014.5,1114,1127.5,1032.5,1186,1575.5,935
453,869,922,892,879.5,1043,825,1020,979,869.5,937.5,869,986,1073,1062.5,944,1210,1466,907.5
454,896,980,911.5,784.5,937.5,815.5,979,889,828,862.5,896,936.5,1005,1009,927,1111.5,1423,859.5
455,798.5,922,904,758,967.5,686,915.5,899,752,832.5,798.5,841,934,968.5,989.5,1074,1250.5,841.5
456,808.5,981.5,867.5,763,930.5,697.5,888,884.5,708.5,825.5,808.5,897,933.5,852,874,1050.5,1269.5,835.5
457,784,855,766,737,918.5,721,849,851.5,692.5,827,784,798,841,867,798.5,997,1215.5,831
458,764.5,862.5,801,701.5,893.5,617.5,876.5,842,656,726.5,764.5,864,819.5,885.5,803,953,1058.5,738.5
459,632.5,834,738.5,653,849,604,822.5,744.5,694,666,632.5,756.5,828,852,828,926.5,1033,692
460,653,712.5,709,608,801.5,588.5,804,737,623,705,653,743,735,883.5,769,887,970.5,704.5
461,626,805,647.5,610.5,787,595,733,689,567.5,626.5,626,722.5,698,761,673,865,763,678
462,659.5,714.5,669,641,782.5,502,700.5,704.5,586,617,659.5,691,741.5,698,733,852,724.5,655
463,549,717.5,708.5,498.5,684.5,487.5,723.5,653,525,582.5,549,657,690,689,656,811.5,768.5,653.5
464,542,646.5,638.5,542,710.5,519,665,559,561.5,528.5,542,603,704,654,610.5,705,762,623.5
465,593,654,589,510.5,680.5,443,633,553.5,460.5,547,593,562.5,723,562,568.5,754,729.5,565.5
466,550,612.5,630.5,507.5,629,443.5,626.5,585,550.5,503,550,521,671.5,592,630,726.5,769.5,521
467,502,622.5,560,491,616,417,609.5,579.5,462,484.5,502,597,694,612.5,546.5,667.5,638.5,495
468,498.5,624.5,547.5,481.5,576.5,426,576.5,499.5,405.5,470,498.5,505,521.5,580.5,573.5,638.5,689.5,524
469,445.5,574,572,455.5,533,406,589.5,504,414.5,508,445.5,514.5,593.5,521.5,604.5,617.5,595,448.5
470,411,532,542.5,431.5,522.5,328.5,522.5,468,408.5,441,411,516.5,567.5,574,511.5,610.5,644.5,479.5
471,403.5,530.5,492.5,470.5,517.5,390,474.5,497.5,419,387,403.5,437.5,581,570,480.5,523.5,587,512
472,408,499,482,415.5,523.5,302.5,507,447.5,349.5,412,408,485,576,501,411,519.5,573,289.5
473,405.5,447,477,402,499.5,295.5,467.5,534,306.5,408.5,405.5,399,479.5,500,398,529.5,533.5,406
474,386,464.5,476,367.5,473.5,296.5,421.5,394.5,297.5,368.5,386,471.5,458.5,485.5,460.5,510,448.5,326.5
475,327,458.5,412,366.5,461,291,458,416,317.5,291,327,403,449.5,422,392.5,528.5,539.5,387
476,392,486,408.5,304,505.5,310.5,406,422.5,348,359.5,392,429,478,399.5,368,493.5,472.5,312
477,355.5,428,433.5,307.5,387,253,428.5,354,282,298.5,355.5,328,363.5,372.5,386,482,530,325.5
478,333,431,433,330.5,369.5,258.5,394.5,391.5,274,266.5,333,334,459,411.5,350,501.5,467,358.5
479,337,446.5,330.5,334.5,396.5,202,390.5,324,269,270.5,337,408,453.5,429.5,351.5,442.5,367.5,309
480,320,380,371,313.5,394,260.5,372,386,258,274.5,320,324.5,422,374.5,280.5,436,438,267.5
481,263.5,379.5,385,371.5,403.5,212,305,345.5,229.5,246,263.5,352,357,317.5,305.5,486,395,273
482,284.5,383,332,290,359,239.5,324.5,360.5,236,254.5,284.5,319.5,413.5,328,329.5,429,361,276
483,265,350,287,320.5,367,161,280.5,304,202,264.5,265,278.5,370,299,311,408.5,410,245
484,297,373,319.5,286.5,368.5,215.5,319,318.5,255,231,297,244.5,309,353.5,274,369.5,381.5,298
485,248.5,335.5,353,270.5,350.5,168,291.5,293,232,216.5,248.5,299.5,359.5,299,271.5,387.5,408.5,242
486,223.5,370,321,286.5,352.5,143,338,318.5,212,196.5,223.5,299.5,344.5,313.5,318,350.5,396.5,209
487,235.5,312.5,310,271,265.5,101,313,262,210.5,211.5,235.5,288.5,311,269,268.5,363,348,207.5
488,261,329.5,270.5,274,306,196,319,285,173.5,177,261,284.5,337,294,213,306,395,181
489,217,334,309.5,273,302,179,302.5,248,169.5,181,217,256.5,277.5,274,272.5,374,322.5,241
490,188.5,284,327.5,240.5,323.5,162,291.5,276,172.5,200.5,188.5,280,299.5,296,243.5,288.5,360.5,192
491,207,293,303,251.5,326,132,250,231.5,166.5,156,207,237,312.5,239,223,242,311.5,221.5
492,236,302,270,257.5,239.5,152,246,272,154.5,156.5,236,238.5,297,247,251,269.5,270,198.5
493,243,303.5,256,249,306.5,130.5,227.5,266.5,192.5,152,243,268.5,287,263.5,160,271.5,301.5,182.5
494,228.5,272,274,203.5,333,152.5,197,252.5,142,146,228.5,183,284.5,270,233,299,230,178.5
495,196.5,297.5,279,220,270,124.5,219.5,265.5,169,142.5,196.5,227,255,195.5,220,264.5,286.5,159
496,187.5,234.5,239.5,231,228,145.5,245.5,243.5,197,135,187.5,235.5,277.5,211,205,210,308.5,188
497,127.5,266,203.5,202,271,102.5,197.5,216.5,150.5,105,127.5,243.5,257,212.5,187.5,280,284,164
498,175.5,267,207.5,190.5,249.5,128,203,204,161,128.5,175.5,191.5,244.5,199.5,143,225.5,273.5,113.5
499,170,265.5,237.5,200.5,260,136.5,215,217.5,136,114.5,170,189,246,187.5,151,237,249.5,118
500,170.5,223,215.5,165,202,107.5,162.5,196,130.5,91.5,170.5,158,246,196,159,225,234.5,162
